Suburb,Rooms,Type,Method,SellerG,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount,Price
Collingwood,1,u,PI,Purplebricks,2.0,3066.0,,,,,,,Yarra City Council,,,Northern Metropolitan,4553.0,450000
Pascoe Vale,2,h,S,New,9.9,3044.0,2.0,1.0,3.0,629.0,,1975.0,Moreland City Council,-37.7312,144.9399,Northern Metropolitan,7485.0,915000
Murrumbeena,2,h,S,Gary,12.1,3163.0,2.0,1.0,1.0,646.0,92.0,,Glen Eira City Council,-37.8949,145.072,Southern Metropolitan,4442.0,707000
Doncaster,5,h,VB,Jellis,12.4,3108.0,5.0,3.0,3.0,930.0,135.0,1965.0,Manningham City Council,-37.79,145.1186,Eastern Metropolitan,9028.0,1500000
Bundoora,2,t,S,Barry,12.1,3083.0,2.0,1.0,2.0,90.0,90.0,1995.0,Banyule City Council,-37.70912,145.05181,Northern Metropolitan,10175.0,505000
Keilor Downs,3,h,SP,Barry,15.5,3038.0,,,,,,,Brimbank City Council,,,Western Metropolitan,3656.0,595000
Glen Waverley,3,u,S,Ray,16.7,3150.0,,,,,,,Monash City Council,,,Eastern Metropolitan,15321.0,900000
Brunswick,3,h,S,Nelson,5.2,3056.0,3.0,1.0,3.0,612.0,,,Moreland City Council,-37.773,144.952,Northern Metropolitan,11918.0,1815000
Surrey Hills,2,u,VB,hockingstuart,10.2,3127.0,2.0,1.0,1.0,,,,Boroondara City Council,-37.8232,145.09756,Southern Metropolitan,5457.0,610000
Brunswick,3,h,VB,Jellis,5.2,3056.0,3.0,1.0,,,111.0,1890.0,Moreland City Council,-37.76904,144.9646,Northern Metropolitan,11918.0,1150000
Altona,4,h,S,Greg,11.0,3018.0,4.0,2.0,2.0,,276.0,2012.0,Hobsons Bay City Council,-37.87045,144.81649,Western Metropolitan,5301.0,1565000
Broadmeadows,2,u,PI,Barry,14.0,3047.0,,,,,,,Hume City Council,,,Northern Metropolitan,4294.0,420000
Hampton East,3,t,VB,Buxton,13.8,3188.0,,,,,,,Bayside City Council,,,Southern Metropolitan,2356.0,1250000
Glenroy,3,h,PI,Barry,13.0,3046.0,3.0,2.0,2.0,585.0,146.0,1975.0,Moreland City Council,-37.6977,144.9071,Northern Metropolitan,8870.0,570000
South Melbourne,3,h,VB,Cayzer,2.1,3205.0,,,,,,,Port Phillip City Council,,,Southern Metropolitan,5943.0,1350000
Glen Iris,2,u,S,hockingstuart,7.3,3146.0,,,,,,,Boroondara City Council,,,Southern Metropolitan,10412.0,485000
Port Melbourne,3,t,S,Cayzer,3.8,3207.0,3.0,1.0,2.0,188.0,,,Melbourne City Council,-37.8371,144.9478,Southern Metropolitan,8648.0,1565000
Brighton,3,h,PI,Nick,11.2,3186.0,3.0,2.0,2.0,0.0,167.0,1980.0,Bayside City Council,-37.911,144.9866,Southern Metropolitan,10579.0,2225000
